IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-07-11,13:00:43 UTC,"[""necessary""]",desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-11,13:07:09 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
